code,name,address,route_id,status,payment_terms,default_discount,owner_name,phone,email
OUT0001,"A. G. Grocery, Hapugala","Pelawatta Road, Hapugala",4,active,cash,20.0,,,
OUT0002,"A. G. P. Super Center, Bogahagoda","Akuressa Rd, Bogahagoda.",1,active,cash,20.0,,,
OUT0003,"A. G. P. Super Center, Bogahagoda (Whole Sale)",,1,active,cash,20.0,,,
OUT0004,"A. H. J. Stores, Steel Road, Dangedara",Steel Road  Dangedara,4,active,cash,20.0,,,
OUT0005,"A. M. Bite & Grocery, Gonapinuwala","Baddegama Road, Gonapinuwala",7,active,cash,20.0,,,
OUT0006,"A. N. S. Stores, Pahalakeebiya",pahalakeebiya,5,active,cash,20.0,,,
OUT0007,"A. P. C. Food City, Weeraketiya",Weeraketiya,1,active,cash,20.0,,,
OUT0008,"A. P. V. Stores, Hiare",,5,active,cash,20.0,,,
OUT0009,"A. S. Stores, Kappetiyagoda",Kappetiyagoda,2,active,cash,20.0,,,
OUT0010,"A. S. Stores, Nagoda",nagoda,3,active,cash,20.0,,,
OUT0011,"A. T. Grocery, Milidduwa",Milidduwa,4,active,cash,20.0,,,
OUT0012,"A. T. Stores, Semsan Mawatha,",Semsan Mawatha,4,active,cash,20.0,,,
OUT0013,"A.L.P. Stores, Galle",Galle,2,active,cash,20.0,,,
OUT0014,"Aasiri Cake , Morawaka",Morawaka,1,active,cash,20.0,,,
OUT0015,"Abedeera Grocery, Weligama",Waligama,1,active,cash,20.0,,,
OUT0016,"Abeewardana Food City, Middeniya",Middeniya,1,active,cash,20.0,,,
OUT0017,"Abeewardana Grocery, Waliwa",Waliwa,1,active,cash,20.0,,,
OUT0018,"Abepitiya Stores, Darangala",Darangala,1,active,cash,20.0,,,
OUT0019,"Aberathna Grocery, Divithura",Divithura,5,active,cash,20.0,,,
OUT0020,"Abewikrama Stores, Debokkawa",Debokkawa,1,active,cash,20.0,,,
OUT0021,"Abeysinghe Rice Center , Mathara","Hakmana Road,Mathara",1,active,cash,20.0,,,
OUT0022,"Abeywickrama Food City, Labuduwa",Labuduwa0,4,active,cash,20.0,,,
OUT0023,"Abeywickrama Super City, Hirimbura",Hirimbura,2,active,cash,20.0,,,
OUT0024,"Abeywikrama Super City, Kalegana","Galle Rd, Kalegana",7,active,cash,20.0,,,
OUT0025,"Abiman Stores, Katudampe",,5,active,cash,20.0,,,
OUT0026,"Ajith Fruits, Galle","Fruits Market, Galle",1,active,cash,20.0,,,
OUT0027,"Akash Stores, Habaraduwa",Habaraduwa,3,active,cash,20.0,,,
OUT0028,"Akuressa Stores, Waralla",Waralla,1,active,cash,20.0,,,
OUT0029,"Alawatta Stores, Hiare",Hiare,5,active,cash,20.0,,,
OUT0030,"Aloka Pharmacy, Hakmana",Hakmana,1,active,cash,20.0,,,
OUT0031,"Aluroma Food City (PVT) Ltd, Ginthota",Ginthota,7,active,cash,20.0,,,
OUT0032,"Amal Stores, Thepudeniya",Thepudeniya,1,active,cash,20.0,,,
OUT0033,"Amarakoon Stores, Habaraduwa",Habaraduwa,2,active,cash,20.0,,,
OUT0034,"Amarasena Stores, Batakatiya",Bataketiya,5,active,cash,20.0,,,
OUT0035,"Amarasena Stores, Kottawagama",Kottawagama,4,active,cash,20.0,,,
OUT0036,"Amarasena Stores, Wanduraba","Kottawagama, Wanduraba",3,active,cash,20.0,,,
OUT0037,"Amila Grocery, Wakunugoda",Wakunugoda,2,active,cash,20.0,,,
OUT0038,"Ananda Grocery, Thanipolgaha",Thanipolgaha,2,active,cash,20.0,,,
OUT0039,"Ananda Stores, Kakanadura",Kakanadura,1,active,cash,20.0,,,
OUT0040,"Ananda Stores, Telikada",Telikada,2,active,cash,20.0,,,
OUT0041,"Anil Stores, Elpitiya",Elpitiya,3,active,cash,20.0,,,
OUT0042,"Anula Stores, Imaduwa",Imaduwa,1,active,cash,20.0,,,
OUT0043,"Anula Stores, Kadurupe",Kadurupe,2,active,cash,20.0,,,
OUT0044,Anura Stores Welipitiya,Welipitiya,1,active,cash,20.0,,,
OUT0045,"Anura Stores, Ampawila",Ampavila,2,active,cash,20.0,,,
OUT0046,"Anura Stores, Pinkanda",,3,active,cash,20.0,,,
OUT0047,"Anusha Stores , Pitadeniya",PITADENIYA,5,active,cash,20.0,,,
OUT0048,"Apsara Stores, Panadura",Panadura,3,active,cash,20.0,,,
OUT0049,"Arachchiwatta Food City,Morawaka",Morawaka,1,active,cash,20.0,,,
