product_code,product_name,product_category,product_barcode,product_description,sku_size,sku_unit,sku_barcode,sku_price,status
PROD0005,Chili Powder,hasal products,,,50g,g,4796028020118,0.00,active
PROD0005,Chili Powder,hasal products,,,100g,g,4796028020125,0.00,active
PROD0005,Chili Powder,hasal products,,,250g,g,4796028020132,0.00,active
PROD0005,Chili Powder,hasal products,,,500g,g,4796028020163,0.00,active
PROD0005,Chili Powder,hasal products,,,1000g,g,4796028021665,0.00,active
PROD0006,Chili Pieces,hasal products,,,50g,g,4796028020149,0.00,active
PROD0006,Chili Pieces,hasal products,,,100g,g,4796028020156,0.00,active
PROD0006,Chili Pieces,hasal products,,,250g,g,4796028020101,0.00,active
PROD0006,Chili Pieces,hasal products,,,500g,g,4796028021658,0.00,active
PROD0006,Chili Pieces,hasal products,,,1000g,g,4796028021771,0.00,active
PROD0007,Curry Powder,hasal products,,,50g,g,4796028020248,0.00,active
PROD0007,Curry Powder,hasal products,,,100g,g,4796028020231,0.00,active
PROD0007,Curry Powder,hasal products,,,250g,g,4796028020255,0.00,active
PROD0007,Curry Powder,hasal products,,,500g,g,,0.00,active
PROD0008,Meat Curry,hasal products,,,50g,g,4796028020453,0.00,active
PROD0008,Meat Curry,hasal products,,,100g,g,,0.00,active
PROD0008,Meat Curry,hasal products,,,250g,g,4796028020477,0.00,active
PROD0008,Meat Curry,hasal products,,,500g,g,,0.00,active
PROD0009,R/Curry Powder,hasal products,,,50g,g,4796028020620,0.00,active
PROD0009,R/Curry Powder,hasal products,,,100g,g,4796028020637,0.00,active
PROD0009,R/Curry Powder,hasal products,,,250g,g,4796028021245,0.00,active
PROD0009,R/Curry Powder,hasal products,,,500g,g,,0.00,active
PROD0010,Turmeric Powder,hasal products,,,25g,g,4796028020811,0.00,active
PROD0010,Turmeric Powder,hasal products,,,50g,g,4796028020828,0.00,active
PROD0010,Turmeric Powder,hasal products,,,100g,g,4796028020798,0.00,active
PROD0011,Pepper Powder,hasal products,,,50g,g,4796028020576,0.00,active
PROD0011,Pepper Powder,hasal products,,,100g,g,4796028020583,0.00,active
PROD0011,Pepper Powder,hasal products,,,250g,g,4796028020590,0.00,active
PROD0011,Pepper Powder,hasal products,,,500g,g,,0.00,active
PROD0011,Pepper Powder,hasal products,,,Card,Card,,0.00,active
PROD0012,Pepper Seeds,hasal products,,,50g,g,4796028020606,0.00,active
PROD0012,Pepper Seeds,hasal products,,,100g,g,4796028020613,0.00,active
PROD0012,Pepper Seeds,hasal products,,,250g,g,,0.00,active
PROD0012,Pepper Seeds,hasal products,,,Card,Card,1012,0.00,active
PROD0013,Garam Masala,hasal products,,,50g,g,4796028020330,0.00,active
PROD0013,Garam Masala,hasal products,,,100g,g,4796028020347,0.00,active
PROD0014,Mustard Seeds,hasal products,,,50g,g,4796028020545,0.00,active
PROD0014,Mustard Seeds,hasal products,,,100g,g,4796028020538,0.00,active
PROD0015,Mustard Powder,hasal products,,,50g,g,4796028020514,0.00,active
PROD0015,Mustard Powder,hasal products,,,100g,g,4796028020521,0.00,active
PROD0016,Dill Seeds,hasal products,,,50g,g,4796028020293,0.00,active
PROD0016,Dill Seeds,hasal products,,,100g,g,4796028020286,0.00,active
PROD0017,R/Dill Seeds,hasal products,,,50g,g,4796028020644,0.00,active
PROD0017,R/Dill Seeds,hasal products,,,100g,g,4796028020651,0.00,active
PROD0018,Lime Pickle,hasal products,,,100g Packet,g,4796028020422,0.00,active
PROD0018,Lime Pickle,hasal products,,,100g Cup,g,,0.00,active
PROD0018,Lime Pickle,hasal products,,,250g Cup,g,,0.00,active
PROD0019,Sweet Tamarind,hasal products,,,100g,g,,0.00,active
PROD0019,Sweet Tamarind,hasal products,,,250g,g,,0.00,active
PROD0019,Sweet Tamarind,hasal products,,,Card,Card,1020,0.00,active
PROD0020,Tamarind Paste,hasal products,,,100g,g,4796028021528,0.00,active
PROD0021,Maldive Fish Sambol,hasal products,,,40g,g,4796028021467,0.00,active
PROD0022,Koonisso Sambol,hasal products,,,40g,g,,0.00,active
PROD0022,Koonisso Sambol,hasal products,,,Card,Card,1030,0.00,active
PROD0023,Gamboge Paste,hasal products,,,100g,g,4796028021009,0.00,active
PROD0023,Gamboge Paste,hasal products,,,250g,g,4796028021016,0.00,active
PROD0024,Salted Mango,hasal products,,,140g,g,4796028021238,0.00,active
PROD0025,Barli Powder,hasal products,,,100g,g,,0.00,active
PROD0026,Barli Powder Box,hasal products,,,100g,g,,0.00,active
PROD0027,Cinnamon Powder,hasal products,,,25g,g,4796028021436,0.00,active
PROD0027,Cinnamon Powder,hasal products,,,50g,g,4796028021498,0.00,active
PROD0028,Nutmeg Powder,hasal products,,,25g,g,4796028021429,0.00,active
PROD0029,Kurakkan Flour,hasal products,,,200g,g,4796028020866,0.00,active
PROD0029,Kurakkan Flour,hasal products,,,400g,g,4796028021634,0.00,active
PROD0030,Gram Flour,hasal products,,,200g,g,4796028020354,0.00,active
